City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,yulara,-25.2406,130.9889,70.74,23,50,4.74,AU,1679776042
265,filadelfia,39.9523,-75.1638,50.34,92,100,9.22,US,1679775982
266,vitim,59.4511,112.5578,24.19,95,100,7.4,RU,1679776042
267,westport,41.1415,-73.3579,42.03,89,100,27.63,US,1679776043
268,sexsmith,55.35,-118.786,36.75,56,75,4.61,CA,1679776044
269,boende,-0.2167,20.8667,73.42,84,43,1.66,CD,1679776044
270,saint-louis,16.3333,-15.0,88.9,13,0,10.09,SN,1679776044
271,evanston,42.0411,-87.6901,41.11,80,100,20.71,US,1679776045
272,havoysund,70.9963,24.6622,23.23,60,100,9.51,NO,1679776045
273,lochearn,39.3407,-76.7222,50.86,94,100,4.61,US,1679776046
274,srednekolymsk,67.45,153.6833,-20.99,97,100,5.59,RU,1679776046
275,sao jose da coroa grande,-8.8978,-35.1478,80.87,76,38,7.23,BR,1679776047
276,casper,42.8666,-106.3131,32.81,43,100,18.41,US,1679776047
277,flinders,-34.5833,150.8552,64.38,89,100,1.99,AU,1679776048
278,manggar,-2.8833,108.2667,78.12,84,100,4.68,ID,1679776048
279,tual,-5.6667,132.75,83.43,72,91,6.58,ID,1679776049
280,gamboma,-1.8764,15.8644,72.91,92,93,0.81,CG,1679776049
281,khandbari,27.3747,87.2039,63.0,62,61,3.13,NP,1679776049
282,tigil,57.8,158.6667,12.42,89,100,16.82,RU,1679775918
283,saint-leu,-21.15,55.2833,76.06,93,30,8.37,RE,1679776050
284,kununurra,-15.7667,128.7333,76.98,94,40,5.75,AU,1679776051
285,dingle,10.9995,122.6711,75.24,93,100,7.25,PH,1679776051
286,tuatapere,-46.1333,167.6833,50.43,82,91,3.83,NZ,1679776052
287,kaitangata,-46.2817,169.8464,51.93,78,85,7.31,NZ,1679776052
288,cabo san lucas,22.8909,-109.9124,79.9,45,40,11.5,MX,1679775917
289,sambava,-14.2667,50.1667,75.7,91,100,6.69,MG,1679776053
290,georgetown,5.4112,100.3354,78.73,94,20,0.0,MY,1679775892
291,el cope,8.6167,-80.6,82.02,49,52,11.72,PA,1679776053
292,plymouth,41.8334,-70.8328,40.95,83,100,10.36,US,1679776054
293,udachnyy,66.4167,112.4,-10.46,98,55,5.66,RU,1679776054
294,yinchuan,38.4681,106.2731,43.21,15,100,5.14,CN,1679776054
295,dubbo,-32.25,148.6167,62.73,88,61,11.5,AU,1679776055
296,port hedland,-20.3167,118.5667,78.85,100,94,6.91,AU,1679776055
297,beringovskiy,63.05,179.3167,29.28,85,51,19.08,RU,1679776056
298,barabai,-2.5833,115.3833,72.81,99,100,1.1,ID,1679776056
299,maceio,-9.6658,-35.7353,83.64,78,40,13.8,BR,1679775969
300,nova vicosa,-17.8919,-39.3719,81.23,74,46,9.73,BR,1679776057
301,korla,41.7597,86.1469,50.29,27,0,4.18,CN,1679776057
302,grand-santi,4.25,-54.3833,86.14,55,100,2.26,GF,1679776057
303,bengkulu,-3.8004,102.2655,75.9,91,100,5.06,ID,1679776058
304,kulhudhuffushi,6.6221,73.07,81.91,71,1,4.63,MV,1679776058
305,mareeba,-17.0,145.4333,72.32,90,13,1.72,AU,1679776059
306,isangel,-19.55,169.2667,78.6,87,99,9.04,VU,1679776059
307,axim,4.8699,-2.2405,80.83,82,100,6.64,GH,1679776060
308,palana,59.1167,159.9667,0.18,95,100,5.37,RU,1679776060
309,puerto leguizamo,-0.1934,-74.7819,83.1,66,100,3.71,CO,1679776061
